Date,Rank,Coin,Symbol,Market Cap,Price,Circulating Supply,Volume,%1h,%24h,%7d
2013-April-28,1,BTCBitcoin,BTC,$1.49B$1488566972,$134.21 ,11091325 BTC,,0.64%,0.00%,0.00%
2013-April-28,2,LTCLitecoin,LTC,$74.64M$74637022,$4.35 ,17164230 LTC,,0.80%,0.00%,0.00%
2013-April-28,3,PPCPeercoin,PPC,$7.25M$7250187,$0.39 ,18757362 PPC,,-0.93%,0.00%,0.00%
2013-April-28,4,NMCNamecoin,NMC,$6.00M$5995997,$1.11 ,5415300 NMC,,-0.05%,0.00%,0.00%
2013-April-28,5,TRCTerracoin,TRC,$1.50M$1503099,$0.65 ,2323570 TRC,,0.61%,0.00%,0.00%
2013-April-28,6,DVCDevcoin,DVC,$1.42M$1424087,$0.00 ,4366620160 DVC,,0.46%,0.00%,0.00%
2013-April-28,7,NVCNovacoin,NVC,$1.16M$1162266,$4.25 ,273706 NVC,,2.14%,0.00%,0.00%
2013-May-5,1,BTCBitcoin,BTC,$1.29B$1288693216,$115.91 ,11118050 BTC,,0.43%,2.97%,-13.81%
2013-May-5,2,LTCLitecoin,LTC,$62.30M$62298217,$3.59 ,17348954 LTC,,0.10%,2.87%,-16.72%
2013-May-5,3,NMCNamecoin,NMC,$6.29M$6290543,$1.15 ,5465350 NMC,,-1.19%,8.91%,1.64%
2013-May-5,4,PPCPeercoin,PPC,$5.72M$5718446,$0.30 ,18830240 PPC,,0.31%,2.61%,-22.20%
2013-May-5,5,FTCFeathercoin,FTC,$2.02M$2017436,$0.31 ,6444650 FTC,,-12.81%,-29.71%,0.00%
2013-May-5,6,FRCFreicoin,FRC,$1.63M$1627439,$0.08 ,20057908 FRC,,-14.89%,-23.15%,0.00%
2013-May-5,7,TRCTerracoin,TRC,$1.37M$1367162,$0.57 ,2407150 TRC,,1.13%,-3.05%,-12.34%
2013-May-5,8,DVCDevcoin,DVC,$1.05M$1052082,$0.00 ,4406170112 DVC,,0.63%,-12.41%,-27.21%
2013-May-5,9,NVCNovacoin,NVC,$1.02M$1015804,$3.69 ,275503 NVC,,1.26%,5.17%,-11.72%
2013-May-5,10,MNCMincoin,MNC,$118657.23$118657,$0.12 ,1023701 MNC,,0.31%,-60.48%,0.00%
2013-May-12,1,BTCBitcoin,BTC,$1.28B$1281982625,$115.00 ,11147675 BTC,,-0.03%,-0.41%,-1.88%
2013-May-12,2,LTCLitecoin,LTC,$57.51M$57513319,$3.27 ,17591130 LTC,,0.17%,-2.61%,-9.91%
2013-May-12,3,NMCNamecoin,NMC,$4.67M$4674413,$0.85 ,5522700 NMC,,0.02%,0.61%,-26.82%
2013-May-12,4,PPCPeercoin,PPC,$4.59M$4585556,$0.24 ,18897820 PPC,,-1.20%,-4.88%,-21.46%
2013-May-12,5,NVCNovacoin,NVC,$984531.38$984531,$3.52 ,279685 NVC,,-0.10%,-0.28%,-4.43%
2013-May-12,6,DVCDevcoin,DVC,$983447.61$983448,$0.00 ,4454020096 DVC,,0.58%,3.67%,-8.65%
2013-May-12,7,TRCTerracoin,TRC,$954262.84$954263,$0.38 ,2506930 TRC,,-1.02%,-5.49%,-33.23%
